"","date","MMM","AMG","GAS","AA","AEE","AMT","AMP","ADI","AMAT","ADM","T","ADP","AZO","AVB","AVY","BHI","BK","BCR","BDX","BLK","BSX","COG","CPB","CAH","CCL","CBG","CF","CMG","CSCO","CTXS","COH","CTSH","CMA","CNX","COST","CCI","DHI","DLTR","DD","DNB","EMN","ECL","EMC","EMR","EQR","ESS","EL","EXPD","ESRX","FDO","FDX","FIS","FSLR","FE","FLIR","FOSL","GME","GD","GGP","GWW","HAS","HCN","HBAN","ITW","TEG","IPG","INTU","K","LLL","LLY","LOW","MRO","MAS","MAT","MKC","MHFI","MCK","MDT","MCHP","MNST","MCO","NDAQ","NEE","NU","OI","PCAR","POM","PKI","PXD","PBI","PCL","PPG","PPL","PFG","PG","PGR","QCOM","DGX","RTN","RHT","RF","COL","RCL","SPG","SJM","SO","SE","STJ","SPLS","SYK","TSO","TXN","TXT","TSCO","TYC","UA","UTX","UHS","VIAB","VNO","WHR","WMB","WIN","WYN","XEL","YHOO"
"1","2007-01-03",78.26,105.88,39.72,29.33,54,38,55.22,32.84,18.42,32.06,34.95,48.41,118.61,128.75,68.08,71.5,39.69,82.9,70.43,155.12,16.91,57.58,38.8,64.02,50.95,33.65,26.46,56.41,27.73,26.83,43.82,77.76,59.18,30.23,52.84,31.56,26.04,30.69,49.04,82.28,60.05,44.5,13.2,43.86,50.82,129.25,41.09,41.79,70.27,29.54,109.77,40.61,28.5,60.46,31.96,22.97,54.9,73.95,52.1,71,27.49,43.06,24.02,45.89,54.74,12.24,29.49,50.45,81.7,52.25,32.04,87.35,29.28,23.05,38.4,67.09,51.43,52.57,33.21,33.92,70.32,31.01,55.1,28.43,18.8,64.91,26.39,21.89,38.72,46.37,39.85,64.54,36.36,59.32,64.54,24.21,37.46,51.49,52.11,22.17,38.02,63.65,43.48,101.7,49.3,36.98,28.62,35.82,26.4,55.12,66.63,28.56,95.25,45.75,30.45,49.55,62.81,55.81,41.58,121.71,84.66,25.69,14.2,32.59,23.43,25.61
"2","2007-01-04",77.95,104.73,39.64,29.11,53.84,37.85,55.58,33.41,18.8,31.88,34.5,48.9,119.6,131.71,67.79,68.28,39.61,82.96,69.85,156.79,17.06,56.61,38.64,63.96,50.87,33.34,26.75,55.38,28.46,27.95,45,78.16,59.21,29.34,54.07,32.05,25.98,30.65,48.7,82.56,59.76,43.95,13.53,43.86,50.92,129.12,41.09,42.21,69.86,29.32,108.48,40.48,28.75,60.39,32.37,23.19,55.41,74.42,52.31,70.78,27.53,43.54,24,46.17,54.97,12.32,29.9,50.06,80.18,52.36,32.18,84.24,29.26,23.12,38.22,66.78,51.3,53.2,33.72,34.12,69.81,31.89,55.06,28.2,18.8,64.6,26.39,21.58,38.16,46.32,39.44,64.52,36.18,59.21,64.05,24.23,39.15,51.84,51.33,22.67,37.84,63,43.8,101.67,48.57,37,29.05,35.72,26.24,55.6,65.02,29.1,94.35,46.19,30.79,49.23,62.87,55.68,41.24,122,84.75,25.62,13.99,32.26,23.45,26.85
"3","2007-01-05",77.42,103.89,38.8,28.76,53.11,37.52,55.5,33.03,18.67,31.83,33.96,48.76,118.83,130.21,67.32,67.77,39.42,82.35,70,156.75,17.1,57.18,37.96,63.93,49.88,33.1,26.59,55,28.47,27.85,44,77.11,58.55,29.19,53.41,32.09,25.84,32.03,48.05,82.69,59.54,43.96,13.61,43.48,49.92,127.52,40.58,41.78,68.86,28.95,107.53,40.34,28.15,59.11,31.58,22.67,55.49,74.59,51.51,69.34,27.36,43.55,23.78,46,54.05,12.28,29.83,49.72,81.04,52.04,31.79,85.92,29.25,22.93,37.99,66.81,51.31,53.36,33.53,34.28,68.78,33.1,54.33,27.61,18.55,64.7,25.96,21.56,38.01,46.4,38.65,64.73,35.55,58.57,63.5,23.75,38.69,51.34,51.63,22.24,37.19,63.21,43.37,99.32,48.3,36.44,28.86,35,26.02,55.83,65.67,28.76,94.22,47.99,30.35,48.36,62.68,55.17,41.47,119.55,84.73,25.76,13.9,32.24,22.98,27.74
"4","2007-01-08",77.59,105.26,39.06,28.48,53.16,38.59,56.19,33.29,18.89,31.99,33.81,48.79,118.85,131.8,67.67,68.17,39.58,82.48,70.45,159.64,17.81,58.08,38.1,64.15,49.86,33.22,26.42,56.05,28.63,28.78,44.01,78.31,58.46,30.12,53.63,32.41,25.39,32.01,48.07,82.79,59.66,43.82,14.08,43.91,49.88,126.5,40.17,42.33,68.78,29.36,107.85,40.68,28.9,59,31.79,22.93,54.5,78,52.02,70.02,27.14,43.74,23.73,46.17,54.22,12.24,28.83,49.84,81.22,51.8,31.7,86.74,29.14,23.22,37.9,66.6,51.66,53.7,34.03,34,68.76,34.04,54.26,27.76,18.85,65.24,25.62,21.46,38.45,46.86,38.53,64.3,35.46,58.68,63.64,23.91,38.26,51.7,51.1,22.34,36.95,64.62,43.79,99.74,47.86,36.54,27.78,36.95,25.74,56.09,65.76,28.9,94.21,46.67,30.87,48.99,63.19,55.2,42.21,118.14,84.6,25.93,14.11,32.27,22.98,27.92
"5","2007-01-09",77.68,106.28,39.25,28.52,53.34,39.15,56.53,33.24,19.25,31.21,33.94,48.6,121.61,129.38,68.06,68.32,39.41,82.43,71.23,160.65,17.6,57.36,38.34,64,50.43,33.97,27.02,56.45,28.47,29.11,44.45,78.52,58.34,30.24,54.03,32.75,25.47,31.96,48.38,84,59.67,43.83,14.16,43.92,50.6,128.45,40.42,41.37,66.06,29.86,108.17,40.98,29.27,58.74,31.26,23.05,56.35,78.31,53.57,70.07,27.65,43.97,23.71,46.52,54.41,12.36,28.93,49.95,80.7,51.83,31.87,85.81,29.7,23.34,38.03,66.88,51.13,53.85,34.6,35.94,68.2,33.83,54.31,27.74,19.05,66.23,25.39,21.43,38.69,47.39,38.8,65.2,35.61,58.62,63.48,23.5,37.84,51.6,51.59,22.11,37.06,65.19,44.98,101.81,47.9,36.64,27.76,38.76,26.4,56.87,65.04,28.84,93.9,47.89,31.08,48.87,62.47,55.17,42.1,119.9,84.71,25.6,14.15,32.3,22.97,27.58
"6","2007-01-10",77.85,106.77,39.1,30.23,53.29,39.31,56.76,33.82,19.54,30.94,34.03,48.33,120.82,131.34,68.31,66.87,39.62,82.34,71.76,164.9,17.83,56.11,38.04,64.55,50.25,34.25,27.15,56.21,28.68,29.57,44.45,78.46,58.26,30.45,54.41,33.43,25.43,32.01,48.26,83.27,59.89,43.8,14.36,43.59,51.4,130.85,40.52,41.56,65.27,30.3,107.59,41.32,29.16,58.67,31.57,23.25,56.64,79.29,55.05,70.56,27.78,44.6,23.56,46.8,54.37,12.78,29.39,50.21,81.43,51.66,32.47,84.9,29.78,23.43,37.98,67.77,51.85,54.21,35.15,38,68.92,35.28,54.33,27.71,19.3,66.81,25.49,21.4,37.88,47.7,38.89,65.29,35.49,59,64.24,23.44,38.55,51.24,52.01,22.11,37.17,66.3,44.4,103.61,47.53,36.57,26.72,38.47,26.43,57.64,63.53,29.33,93.94,47.97,31.46,49.97,62.69,55.6,42.51,121.55,85.87,25.32,14.03,32.45,23.09,28.7
"7","2007-01-11",78.65,107.69,39.06,30.47,53.35,39.45,57.81,33.89,19.53,31.68,34.49,48.38,124.86,135.42,68.69,66.3,40,83.03,72.23,168.02,18.04,56.17,37.9,65.17,50.8,34.94,27.7,57.67,28.69,29.94,45.62,80.91,57.9,31.09,55.32,33.9,25.97,32.09,48.92,84.62,60.9,44.31,14.31,43.79,52.22,131.47,40.8,42.69,65.33,30.54,107.67,41.42,29.34,58.58,32.3,23.27,58.02,80.51,55.4,71.35,27.87,44.92,23.57,47.48,54.5,13.04,29.67,50.47,82.17,52.23,33.05,83.43,30.06,23.56,38.14,69.22,52.63,53.95,35.87,37.58,69.79,34.62,54.22,27.72,20.14,67.84,25.36,21.85,37.6,48.08,39.43,66.43,35.45,60.1,64.64,23.2,39.48,50.78,52.2,22.37,37.29,66.21,44.83,105.66,48.18,36.72,26.42,38.86,26.6,58.95,63.45,29.03,95.75,49.13,32.15,50.05,63.7,56.41,42.39,122.74,86.09,25.36,14.15,32.72,23.06,29.2
"8","2007-01-12",79.36,109,39,30.79,53.07,39.79,57.98,33.94,19.5,30.96,34.73,48.7,124.61,136.57,68.69,67.97,40.33,82.61,71.97,172.5,18.21,58.87,37.78,66.92,50.91,34.16,29.03,58.28,28.92,30.44,45.82,81.44,58.05,32.15,55.95,34.38,26.4,32.1,49.73,85,61.55,44.66,14.26,44.05,52.66,132.98,40.94,43.94,64.83,30.3,108.86,41.29,29.53,57.99,32.49,23.42,57.64,80.09,54.85,71.76,27.9,44.79,23.51,47.55,54.11,13.37,30.29,50.23,82.58,52.6,33.06,86.77,30.28,23.36,37.98,67.89,54.42,53.72,35.86,38.15,69.37,34.29,53.85,27.69,21.55,68.68,25.28,22.17,38.51,47.8,39.6,67.07,34.98,60.37,65,23.4,39.62,50.14,51.78,22.16,37.06,66.74,44.75,105.35,47.69,36.25,26.05,38.58,26.68,58.77,67.98,29.06,96.18,49.26,31.62,49.6,64.42,56.17,41.8,122.98,85.8,25.83,14.15,32.51,22.87,29.45
"9","2007-01-16",79.56,108.57,38.9,30.58,53,39.75,58.07,33.77,19.48,31.02,34.63,48.6,123.74,139.56,68.87,67.22,40.47,81.51,72.54,171.46,18.12,58.05,37.5,67.54,50.95,35.91,29.4,60.46,28.04,30.27,46.34,81.92,58.27,31.59,56.24,34.17,26.35,32,50.51,84.4,61.75,44.88,14.17,44.23,53.61,136.34,41.31,45.06,65.71,30.58,111.68,41.31,29.27,58.06,32.14,23.39,57.69,79.66,55.83,71.73,27.8,45.22,23.28,47.75,53.83,13.81,30.22,50.44,83.17,52.88,33.4,85.17,30.9,23.07,38.04,68.77,54.71,54.51,35.97,37.08,69.36,34.73,54.15,27.67,21.34,69.35,25.21,22.66,38.23,48.32,39.79,67.29,35.1,60.42,65,23.38,39.47,49.78,51.78,22.18,36.9,67.52,44.48,108.47,47.4,36.47,25.85,38.48,27.02,58.77,68.87,28.88,97.29,48.97,31.61,50.76,64.53,56.37,41.88,125.93,84.25,25.67,14.23,32.41,23.01,29.29
"10","2007-01-17",78.91,109.3,38.81,30.53,53,39.64,58.04,33.23,19.4,31.18,34.49,48.99,123.56,140.34,68.9,67.11,40.25,82.93,72.75,173.19,18.2,58.69,37.6,69.11,51.33,35.7,29.4,60.6,26.98,29.83,45.86,82.21,58.05,31.55,56.68,34.16,26.97,31.63,50.72,84.4,62.09,44.69,14.04,44.51,53.4,136.16,40.8,44.95,66.77,30.64,111.25,41.55,29.02,58.34,32.22,23.02,57.56,80.07,56.01,72.09,27.94,45.46,23.12,47.58,53.64,13.79,30.58,50.25,82.18,52.85,33.2,86.02,31.09,23.33,38.03,68.74,55.32,54.3,35.79,38.4,70.54,35.45,54.4,27.59,21.3,68.63,25.15,22.2,38.69,48.28,39.57,67.83,34.95,60.49,65.36,23.55,39.19,49.02,51.68,22.48,36.71,67.86,44.3,108.8,47.49,36.71,26.8,39.46,26.95,58.49,70.75,29.13,98.2,50.25,31.5,50.9,64.82,56.26,41.7,122.55,84.44,25.99,14.3,31.99,23.04,29.05
